"Latitude(deg)","Longitude(deg)","Txx","Txy","Txz","Tyy","Tyz","Tzz"
32.,50.,35.120355786745506,5.88909756451687,-4.250560607940047,-100.39594745657263,14.140065411687136,65.27559166997388
32.,50.5,81.3480210421111,-15.534419719703589,-16.260747424270797,-85.65683352364053,11.767730333441591,4.308812481676188
32.,51.,71.71069991090113,5.706433944050987,-23.24367091707784,-69.71019973679019,-5.871018850057066,-2.000500173964261
32.,51.5,80.27436482138238,-9.075004636776107,3.873690561496705,-98.47834843536788,-13.463253406597097,18.203983614132106
32.,52.,99.90373097508044,13.317340207413471,4.403887303170508,-90.98851112702599,7.762222061808636,-8.915219847907819
32.5,50.,24.49282012971716,-4.622689437941822,8.067362750152697,-68.79053212707518,-9.227211871932703,44.29771199750471
32.5,50.5,82.26756912741043,7.5144727574880195,-10.390130764397167,-61.8343030204753,-2.6681166185482956,-20.4332661067885
32.5,51.,76.13086615561149,-4.024819604507377,-28.781614262122734,-73.22145001588765,-5.25804099998215,-2.909416139577174
32.5,51.5,82.35131382325385,-2.258575850305224,-1.7691309025453394,-66.91005121047084,21.577116667833923,-15.44126261263644
32.5,52.,103.18703463659315,0.8372952932275441,4.276186114708917,-58.12195512023154,-1.2284889359557563,-45.06507951621506
33.,50.,45.23496035096073,3.0166587434382195,6.594082566948826,-98.95328913248213,-25.40170368939916,53.718328781667836
33.,50.5,69.19517173822865,3.205068538839205,-25.20094818634145,-93.66142250655165,-15.355468863890605,24.46625076846963
33.,51.,87.02176370439302,1.8956479952551475,-40.261441809622056,-67.15509606131683,3.6382113802159113,-19.86666764292967
33.,51.5,78.55954837200088,7.830912611230604,-4.05906398457837,-52.78333410484481,-0.926253819167115,-25.776214267009554
33.,52.,97.37584549839507,-18.702193788499393,19.049918282891205,-93.28745476774128,-9.434790610502526,-4.088390730507234
33.5,50.,48.931591264449295,-8.178022964573351,-16.984146633510466,-47.10445710125497,-7.4628567338879295,-1.8271341630475753
33.5,50.5,75.387137550497,0.5236382418647694,13.83585307662385,-57.95203891860788,-5.562804157384187,-17.43509863174244
33.5,51.,73.53100147928917,17.354900419508734,-5.9010597870215165,-75.37632824171915,-0.8677144176459004,1.845326762576505
33.5,51.5,32.278942519278594,-19.685357060857523,-11.420331813783218,-111.22554976402091,-4.114914187057312,78.94660724488888
33.5,52.,120.48033857958984,6.555196624066877,-22.294218350651498,-61.06027569549255,2.732460041705642,-59.42006288395067
34.,50.,43.16073387879733,2.5891870458943425,14.306394801712223,-57.39149805905833,5.55491301041041,14.230764180407617
34.,50.5,100.65015322721558,2.7002240310310563,-7.521484716039902,-60.224245200812305,-6.181897685943161,-40.42590802625663
34.,51.,34.88960369655308,-21.788976922447088,-17.113376663414787,-68.08851899830356,-4.068984046545622,33.19891530189724
34.,51.5,108.47689980805247,16.633559173464512,-10.777917797091089,-22.551689673836506,-2.4551296623460654,-85.92521013406939
34.,52.,79.0584357629616,-6.798091136896678,-14.377501618694536,-59.47212307142674,5.292439641046364,-19.586312691388216
