"Latitude(deg)","Longitude(deg)","Txxparker","Txyparker","Txzparker","Tyyparker","Tyzparker","Tzzparker"
32.,50.,-29.861765354423294,6.155977670231751,-4.011842090755807,-29.310228594306768,5.462208958334142,59.17199394888207
32.,50.7,3.163954379681011,-3.866246999720557,11.074460947240963,-24.413745610868375,8.9076281379477,21.249791231339373
32.,51.4,26.69781097474228,-2.2897306705111946,-7.062618856485157,-31.10908310358489,20.219669487203927,4.411272128994629
32.4,50.,-19.977751593804488,-6.816574495541924,-7.482383861416414,10.309144317103296,-14.27272913830997,9.6686072768532
32.4,50.7,-10.572528325346964,2.865114895998476,9.745376413930817,17.53285799831777,12.515266421757111,-6.960329672818789
32.4,51.4,30.55027991915145,3.951459599543447,-2.2629925525144032,10.922907022809238,-16.898161176944352,-41.47318694180866
32.8,50.,-9.233830488289174,4.93952502107825,-16.467646465529235,-10.81553312281758,6.248361569905802,20.049363611258773
32.8,50.7,-32.26023791851038,-1.9481539743172123,10.153853589720756,-34.26867204846128,-0.6118347357327099,66.52890996712367
32.8,51.4,41.49406840679954,-2.991371046761039,6.313792875808479,-7.436363707048088,3.798632050693718,-34.057704699599455
33.2,50.,-11.190409789018863,-2.359403569143361,-3.0584389316168474,-1.929059977337801,-14.47398538030137,13.11946976650867
33.2,50.7,-4.0255466084258895,0.5034137923707773,5.65033382794631,16.45347776774807,-22.644655401891566,-12.427931159170164
33.2,51.4,15.215956397444748,1.8559897767725841,-2.591894896329461,7.8983169817458005,19.791863372247747,-23.114273379038533
33.6,50.,4.483614673741575,3.6256301836234233,3.273223212924628,9.446207003969969,-11.964685773614697,-13.92982167755953
33.6,50.7,2.2243066228837813,-1.9916501750148816,-4.797347659895801,-6.530037063619256,-8.025374842407393,4.305730440887482
33.6,51.4,-6.707921296625352,-1.6339800086085405,1.5241244469711777,-25.425880013215913,-24.03460485233049,32.13380130999329
34.,50.,-24.880283699840735,-5.545154810248142,-5.92053358047701,22.299470373388885,29.00082976398609,2.580813326603862
34.,50.7,-0.8553870695051151,4.437522460683398,11.117673330876826,31.22611895688307,9.858970420326859,-30.370731887225944
34.,51.4,25.73567076934585,1.1076323495647442,-5.197139750399815,45.15010281929386,-2.877398880870546,-70.88577358848771
