Latitude(deg),Longitude(deg),TxxParker,TxyParker,TxzParker,TyyParker,TyzParker,TzzParker
32.0,50.0,-219.91318295264907,-23.1428221991701,-72.55290229053674,-107.12951951328441,64.2351388121378,327.0427024660771
32.0,50.1,155.82572461296752,12.795671691536104,-66.46488692781719,-38.997393917416666,7.5016407664652816,-116.82833069540713
32.0,50.2,-67.23955748682738,4.503811243558257,83.97236992988853,-37.8851185425601,54.28774011690724,105.12467602953117
32.0,50.3,21.780588363822698,-41.430118303590746,26.249923336033433,-100.78706235901831,-20.498034467692204,79.00647399533932
32.0,50.4,-95.22120681970834,28.521823680283067,19.03289517410262,-185.34762535839178,-59.882764157022834,280.5688321782439
32.0,50.5,19.669885176694983,45.0767734977134,-147.8276766561439,-71.85872024714482,63.51627539067812,52.18883507059352
32.0,50.6,71.65399352940598,-14.256518609858276,62.04919046047024,5.172534804485903,101.1368832156099,-76.8265283337482
32.0,50.7,-65.92514473701132,-63.18844696993423,-1.2540884594556805,-78.72227435532531,28.024227166771674,144.6474190924803
32.0,50.8,53.69818111176017,-3.3747217817545723,-27.783990555467682,14.307074339350741,-54.4767285014972,-68.00525545096723
32.0,50.9,-56.03797693749154,2.101133421329661,10.973358902313587,16.913257800166534,21.106284720135005,39.124719137468674
32.0,51.0,65.33266778679133,-0.19857439406736824,19.681133199186892,31.925557295661584,-37.53777788412876,-97.25822508230928
32.0,51.1,-129.84405052595298,28.237298981677462,45.87364436269722,-65.15827239440418,22.64141955141642,195.00232292050086
32.0,51.2,73.0624726626289,24.499520280902814,-98.91354534396265,-57.54286249576662,21.006673635033682,-15.519610166718627
32.0,51.3,-32.266136669851164,16.87234479184621,66.59638862843542,-96.99490171776762,85.47880426777519,129.26103838776243
32.0,51.4,29.677120030890073,-8.07242264393226,-69.47916072544815,-94.99336474662397,60.79084525402455,65.31624471587753
32.0,51.5,6.292098631611352,-11.165933299267651,12.039677639094009,-83.56880628302598,46.82748199890338,77.27670765155831
32.0,51.6,23.473536914894222,17.58921189959368,-10.446064267153822,-59.45237696623206,37.80052839353996,35.97884005148148
32.0,51.7,-2.028710934116349,-7.977249384639846,-22.52902112369257,-39.48821310386655,70.06650671021545,41.516924038126604
32.0,51.8,29.36022360965335,-4.229506992043121,35.785288053160805,-57.31988203194161,47.81367087394533,27.959658422431932
32.0,51.9,29.503730200258627,-25.06465265186213,-72.6791243644257,-51.630369503626774,36.71925443776819,22.126639303511812
32.0,52.0,89.14574443222904,21.90337774167962,207.67659102872128,-76.7665697112136,27.971706057666957,-12.37917472087176
32.1,50.0,-177.94747876794207,9.194710418542202,-77.45850687673996,6.735072634374941,-160.34705048192268,171.21240613371077
32.1,50.1,206.6455048950381,98.49439275392953,26.179111507718346,52.435949410403566,-58.756990922726985,-259.081454305298
32.1,50.2,-221.07301636250662,-8.131610757784744,90.21213259125463,59.20717697574737,100.47903547576465,161.86583938690288
32.1,50.3,78.79171630548173,-28.38400924075442,-160.73274603634155,82.30471395874538,-34.260266276857955,-161.0964302640834
32.1,50.4,-11.619636068897373,14.955098333727832,68.1297237764411,207.9269345437884,28.737791447573766,-196.30729847474734
32.1,50.5,3.290740353995024,-28.239140501015168,63.28638043480424,24.52578206729564,-37.321692357497035,-27.81652242114698
32.1,50.6,-53.42163355880077,-6.464369138972232,-29.338389822548066,-71.59119964450856,-24.50660363633371,125.01283320345308
32.1,50.7,31.535770737233996,12.296831004140172,-41.921874052566515,33.51608603440215,-36.89381975471237,-65.05185677149247
32.1,50.8,27.290719097335824,-20.843464733743886,15.770575460711248,-3.1725884191699327,27.296282688925846,-24.11813067802219
32.1,50.9,-21.731238964028286,21.87048292151742,44.86498577893643,-26.628014154123502,-42.162059329269674,48.35925311829548
32.1,51.0,-0.5895528526825025,-10.551880057523393,-31.505377315901733,-12.599587305578966,66.40050895860146,13.189140158405149
32.1,51.1,-41.70126559606054,0.5978940068612036,26.411847095392332,28.24386851461964,-36.66642007449444,13.457397081584572
32.1,51.2,12.914518894797803,-0.04076107490284778,-51.97809953027033,15.787066223589214,41.745838682069554,-28.701585118243322
32.1,51.3,-14.631316491434724,-28.56650577052313,20.760607365797448,-11.635778719470842,-58.88238614350598,26.26709521104926
32.1,51.4,31.526855099512993,18.655588981306188,-46.088610383144726,-9.409610292654895,-44.4290781988009,-22.117244806714403
32.1,51.5,2.167275164385195,11.32181829877676,1.7625607075827128,0.18994619137590496,-14.86478997315639,-2.357221355617422
32.1,51.6,53.45476110498814,-0.7574067647696284,30.43312508602184,-15.249605322603264,-23.658695007544377,-38.20515578224118
32.1,51.7,-67.97719599906833,14.53517975801551,-11.856989300986728,-34.82509702001629,8.598939594072926,102.8022930192283
32.1,51.8,65.23551629597142,-32.18927827942661,-24.94839156787901,-10.98752471014022,-38.15121743235885,-54.24799158568751
32.1,51.9,2.540739111621966,21.074641970975826,-42.99443502861429,-2.9502351617631546,-20.71552248470592,0.40949605028488956
32.1,52.0,95.29821760105912,-58.82821212837657,131.01237011033257,14.653679810124672,-51.35595897712139,-109.9518974110401
32.2,50.0,-50.86228359205619,69.69496019883178,-52.989518969899216,88.22874463216954,85.45647086576425,-37.36646103996968
32.2,50.1,119.21637571718982,-27.070994497600715,231.8317392598694,20.271186097099655,200.87627461569693,-139.4875618141458
32.2,50.2,-288.03959971151215,-74.46006636551768,-67.6989257413358,-144.77918056071556,-29.587662779623024,432.8187802723715
32.2,50.3,250.4477439103914,74.69237081555853,-19.116373717445132,-65.89689024524652,25.65172309431358,-184.5508536650012
32.2,50.4,-253.12720904495407,-8.937908275516516,111.0538153562457,-198.8433749059328,130.15709874315573,451.9705839510305
32.2,50.5,96.17827226291745,-51.92549361754743,-252.7892251951248,-19.470071605692343,32.014589588674134,-76.7082006570814
32.2,50.6,10.436462671117889,13.555373646741474,91.94050473364442,57.91109496877632,-11.34530148356621,-68.3475576397505
32.2,50.7,-12.202144987838187,-18.34331790670768,-16.365075002373334,-19.046354800592553,29.089371079667693,31.248499788574403
32.2,50.8,16.554743336868704,15.080786479645266,-47.89459921502884,11.999574065626584,-10.068570552591797,-28.554317402351618
32.2,50.9,20.316560599848764,-28.25700707788563,81.90249880645317,46.28528307263762,45.62464679018684,-66.60184367234271
32.2,51.0,-39.55879774900354,-19.43480049484991,-30.03093946543961,-36.16640167842598,-47.00804534298001,75.72519942757319
32.2,51.1,7.690972315223748,3.5501411080469834,67.81084684623826,-62.808571359131214,-6.965635427900553,55.11759904405114
32.2,51.2,-63.30015168450489,-0.5250524401475373,-90.65841510602952,-74.67446043058065,-25.115924987005823,137.9746121152292
32.2,51.3,50.50696548793379,8.101944626571001,-25.907447348438254,-11.487904132462534,-19.125315748817954,-39.019061355327565
32.2,51.4,23.704379916642672,10.665764582342337,-8.955833415055212,-2.6861965418296596,6.63136178579397,-21.01818337466933
32.2,51.5,-9.33925080687387,-4.1263368044818245,15.346275108150875,-24.182432465202137,-7.862738717397662,33.52168327221967
32.2,51.6,52.44926689995654,-2.914881773336381,-9.731184861202795,-14.618318683069607,1.9292468140839363,-37.830948216743295
32.2,51.7,-54.52305745086408,6.585278401317772,24.720785456583076,-20.251769652849383,-36.2498595068151,74.77482710385715
32.2,51.8,49.50535300671679,27.057126867876743,-53.86149724634885,9.300887760337302,38.13803341845593,-58.80624076691045
32.2,51.9,7.308433948398771,-15.832802169657478,0.1476196341624567,0.39785901754987923,8.137168349418554,-7.706292965804965
32.2,52.0,66.63696495440077,22.844914696316877,51.24495008237395,3.817068135048729,21.71962346491178,-70.45403308930584
32.3,50.0,-62.94775254508177,28.13123178008072,158.41960984303077,-94.62636594404617,-4.768575983009788,157.57411848927163
32.3,50.1,-116.82574030847441,-85.79668751604886,-71.48079254051659,-112.02310433689222,-49.1027706124596,228.8488446455103
32.3,50.2,42.74664686879441,57.146972999052906,-83.17227103360159,67.45959702695305,-137.5494170723177,-110.20624389560376
32.3,50.3,7.246195938773458,-18.409393010959185,55.47393671567712,39.32112917323934,65.90236310296962,-46.56732511186912
32.3,50.4,-47.223628708774605,-33.50767644866574,2.2976373285787552,69.43094687097965,-185.7637207347915,-22.20731816206137
32.3,50.5,-11.272793800389344,102.93937508088028,-15.749698893830281,-6.111089809459155,24.845021709709407,17.38388360999218
32.3,50.6,0.17815837509682111,-42.480687235877625,-4.679474425307866,-37.727333032343786,38.23186414756794,37.54917465739062
32.3,50.7,-1.759534684996669,7.124348585995654,-53.40251829751091,8.679410353945707,-0.9672057158893459,-6.919875668805361
32.3,50.8,50.18279619011835,-12.874442098855669,65.6111456710183,-20.492405611689374,19.30533791353365,-29.69039057828529
32.3,50.9,-87.58196044492928,-22.332047750553237,-14.24839325971448,-79.9098686712281,-7.5656826122306615,167.49182911630103
